iteration,tot_distance,member_count,ave_distance
1,124.48975899999998,94,1.324359138297872
2,900.551379,198,4.548239287878788
3,1637.8347080000003,261,6.275228766283526
4,3444.160027999996,328,10.50048789024389
5,6048.195904000013,405,14.933817046913612
6,8911.846783000003,490,18.18744241428572
7,11329.56110299996,560,20.231359112499927
8,13677.922448999952,628,21.780131288216484
9,15772.95408799996,703,22.436634549075336
10,17272.95788799996,765,22.5790299189542
11,18697.234609000025,808,23.140141842821812
12,20251.47952900009,853,23.741476587338912
13,21529.414241000097,890,24.190353079775388
14,22910.96528100013,930,24.635446538709818
15,24273.38479000015,974,24.921339620123355
16,25988.01110900016,1030,25.231078746602098
17,26955.09683700018,1058,25.477407218336655
18,30038.354458000267,1158,25.93985704490524
19,30660.052426000268,1176,26.07147315136077
20,31109.05651400027,1189,26.164050894869863
