iteration,hit,distance
1,2,0.273527
1,3,0.553058
1,4,0.77862
1,5,1.0494
1,6,1.5028
1,7,1.868703
2,2,0.273527
2,5,1.0494
2,4,0.77862
2,6,1.5028
2,3,0.553058
2,7,1.868703
2,8,2.162852
2,9,2.740753
2,10,2.936814
2,11,3.567183
2,12,3.590185
2,13,4.835064
2,14,5.499962
2,15,6.704478
2,17,7.194545
2,18,8.442641
2,16,7.407376
2,19,9.261928
2,20,11.105194
2,21,10.436552
3,13,4.835064
3,10,2.936814
3,12,3.590185
3,11,3.567183
3,8,2.162852
3,5,1.0494
3,14,5.499962
3,7,1.868703
3,9,2.740753
3,15,6.704478
3,6,1.5028
3,16,7.407376
3,4,0.77862
3,2,0.273527
3,17,7.194545
3,19,9.261928
3,18,8.442641
3,20,11.105194
3,3,0.553058
3,21,10.436552
3,22,10.941249
3,23,10.927289
3,24,12.539531
3,25,15.343005
3,26,16.186666
3,27,19.416519
3,28,34.538776
4,19,9.261928
4,18,8.442641
4,21,10.436552
4,17,7.194545
4,20,11.105194
4,13,4.835064
4,16,7.407376
4,15,6.704478
4,22,10.941249
4,14,5.499962
4,10,2.936814
4,12,3.590185
4,11,3.567183
4,8,2.162852
4,23,10.927289
4,26,16.186666
4,5,1.0494
4,9,2.740753
4,7,1.868703
4,25,15.343005
4,24,12.539531
4,6,1.5028
4,27,19.416519
4,4,0.77862
4,2,0.273527
4,3,0.553058
4,28,34.538776
4,29,34.538776
4,30,34.538776
4,31,34.538776
4,33,34.538776
4,32,34.538776
4,34,34.538776
4,35,34.538776
4,36,34.538776
4,37,34.538776
5,19,9.261928
5,21,10.436552
5,18,8.442641
5,20,11.105194
5,15,6.704478
5,22,10.941249
5,17,7.194545
5,16,7.407376
5,13,4.835064
5,26,16.186666
5,27,19.416519
5,28,34.538776
5,10,2.936814
5,14,5.499962
5,33,34.538776
5,23,10.927289
5,12,3.590185
5,32,34.538776
5,25,15.343005
5,11,3.567183
5,24,12.539531
5,35,34.538776
5,31,34.538776
5,30,34.538776
5,29,34.538776
5,34,34.538776
5,36,34.538776
5,8,2.162852
5,5,1.0494
5,37,34.538776
5,9,2.740753
5,7,1.868703
5,6,1.5028
5,4,0.77862
5,2,0.273527
5,3,0.553058
5,38,30.771377
5,39,31.396044
5,40,34.020464
5,41,26.381395
5,42,34.538776
5,43,34.538776
5,44,34.538776
6,37,34.538776
