iteration,tot_distance,member_count,ave_distance
1,1049.596626,232,4.524123387931034
2,1925.0092459999998,351,5.484356826210826
3,2910.4109889999986,436,6.675254561926602
4,4581.784371999997,523,8.760581973231352
5,4769.289146,532,8.96482922180451
6,4827.4710399999985,534,9.040207940074904
7,4896.196460000001,536,9.134694888059704
8,4936.233616,538,9.17515542007435
9,4970.255367999999,540,9.204176607407407
10,5081.555079000003,544,9.341093895220595
11,5090.846563,545,9.341002867889909
12,5112.387487,547,9.346229409506398
13,5146.765340999999,550,9.357755165454543
14,5215.842893000002,552,9.44899074818841
15,5824.7678180000075,574,10.147679125435554
16,7106.853946000019,650,10.933621455384644
17,10524.332931999988,750,14.032443909333319
18,12492.918264999984,820,15.23526617682925
19,13520.885752999993,895,15.107134919553065
20,15164.991391999973,957,15.846385989550651
