iteration,hit,distance
1,2,0.124756
1,3,0.420846
1,4,0.708446
1,5,1.207748
2,2,0.124756
2,3,0.420846
2,4,0.708446
2,5,1.207748
2,6,1.581186
2,7,1.763661
2,8,2.622571
2,9,3.304139
2,10,3.713577
3,4,0.708446
3,5,1.207748
3,2,0.124756
3,3,0.420846
3,6,1.581186
3,7,1.763661
3,9,3.304139
3,8,2.622571
3,10,3.713577
3,11,5.350242
3,12,5.732913
3,13,5.820995
3,14,8.483033
3,15,8.235951
3,16,7.520381
4,4,0.708446
4,5,1.207748
4,6,1.581186
4,2,0.124756
4,3,0.420846
4,7,1.763661
4,9,3.304139
4,13,5.820995
4,10,3.713577
4,14,8.483033
4,11,5.350242
4,12,5.732913
4,15,8.235951
4,16,7.520381
4,8,2.622571
4,17,7.138136
4,18,10.247244
4,19,8.372685
4,20,9.925698
5,4,0.708446
5,6,1.581186
5,5,1.207748
5,2,0.124756
5,3,0.420846
5,13,5.820995
5,17,7.138136
5,9,3.304139
5,15,8.235951
5,16,7.520381
5,14,8.483033
5,7,1.763661
5,12,5.732913
5,11,5.350242
5,10,3.713577
5,19,8.372685
5,18,10.247244
5,20,9.925698
5,8,2.622571
5,21,10.008585
5,22,10.67371
6,19,8.372685
6,4,0.708446
6,20,9.925698
6,21,10.008585
6,6,1.581186
6,17,7.138136
6,2,0.124756
6,22,10.67371
6,3,0.420846
6,5,1.207748
6,15,8.235951
6,16,7.520381
6,13,5.820995
6,14,8.483033
6,18,10.247244
6,9,3.304139
6,12,5.732913
6,7,1.763661
6,10,3.713577
6,11,5.350242
6,23,10.740765
6,8,2.622571
6,24,10.75189
6,25,11.55591
6,26,7.726338
7,22,10.67371
7,23,10.740765
7,24,10.75189
7,19,8.372685
7,4,0.708446
7,21,10.008585
7,20,9.925698
7,25,11.55591
7,6,1.581186
7,2,0.124756
7,3,0.420846
7,5,1.207748
7,17,7.138136
7,15,8.235951
7,13,5.820995
7,16,7.520381
7,9,3.304139
7,26,7.726338
7,14,8.483033
7,18,10.247244
7,7,1.763661
7,10,3.713577
7,12,5.732913
7,11,5.350242
7,8,2.622571
7,27,8.951338
7,28,9.18665
7,29,9.282023
7,30,8.584617
8,26,7.726338
8,27,8.951338
8,25,11.55591
8,23,10.740765
8,22,10.67371
8,24,10.75189
8,4,0.708446
8,29,9.282023
8,28,9.18665
8,21,10.008585
8,19,8.372685
8,6,1.581186
8,3,0.420846
8,2,0.124756
8,20,9.925698
8,5,1.207748
8,17,7.138136
8,13,5.820995
8,15,8.235951
8,9,3.304139
8,16,7.520381
8,10,3.713577
8,7,1.763661
8,14,8.483033
8,12,5.732913
8,18,10.247244
8,11,5.350242
8,30,8.584617
8,8,2.622571
8,31,16.663322
9,26,7.726338
9,27,8.951338
9,25,11.55591
9,29,9.282023
9,23,10.740765
9,22,10.67371
9,24,10.75189
9,28,9.18665
9,21,10.008585
9,4,0.708446
9,19,8.372685
9,6,1.581186
9,20,9.925698
9,2,0.124756
9,3,0.420846
9,30,8.584617
9,5,1.207748
9,17,7.138136
9,13,5.820995
9,15,8.235951
9,16,7.520381
9,9,3.304139
9,14,8.483033
9,10,3.713577
9,7,1.763661
9,12,5.732913
9,18,10.247244
9,11,5.350242
9,8,2.622571
9,31,16.663322
9,33,34.538776
10,26,7.726338
10,27,8.951338
10,29,9.282023
10,25,11.55591
10,28,9.18665
10,23,10.740765
10,22,10.67371
10,24,10.75189
