iteration,tot_distance,member_count,ave_distance
1,24.448757,20,1.22243785
2,108.647243,35,3.104206942857143
3,467.2540529999999,53,8.816114207547168
4,985.3356929999997,68,14.49023077941176
5,1365.2622290000004,79,17.281800367088614
6,1779.7275410000016,91,19.557445505494524
7,2125.115301000002,101,21.040745554455466
8,2435.9642850000014,110,22.145129863636377
9,2746.813269,119,23.082464445378154
10,3092.2010289999985,129,23.970550612403088
11,3437.588788999997,139,24.73085459712228
12,3782.9765489999954,149,25.389104355704667
13,3989.560992999995,155,25.73910318064513
14,4313.246468999996,165,26.140887690909068
15,4497.227288999996,172,26.146670284883697
16,4761.5177269999995,181,26.30672777348066
17,5003.289159000003,188,26.61324020744682
18,5329.967764000004,198,26.91902911111113
19,5621.067207000005,207,27.154914043478282
20,5768.356992000003,212,27.209231094339636
