iteration,tot_distance,member_count,ave_distance
1,3847.102711999996,231,16.654124294372277
2,9199.37842900002,387,23.77100369250651
3,13265.808782999959,507,26.165303319526547
4,14785.514926999922,551,26.833965384754848
5,14923.67003099992,555,26.889495551351207
6,15061.825134999915,559,26.9442310107333
7,15156.272558999917,563,26.920555166962554
8,15306.302854999914,568,26.947716294013933
9,15503.598457999913,574,27.009753411149674
10,15641.753561999913,578,27.06185737370227
11,15779.90866599991,582,27.113245130584037
12,15948.427495999907,587,27.16938244633715
13,16146.925575999901,593,27.229216822934067
14,16285.0806799999,597,27.27819209380218
15,16354.158231999902,599,27.302434444073292
16,16423.235783999902,601,27.32651544758719
17,16561.3908879999,605,27.37419981487587
18,16665.007215999907,608,27.40955134210511
19,16768.62354399991,611,27.444555718494126
20,16872.23987199991,614,27.479218032573144
