file,generated_family,query_name,best_hit_family,best_hit_score
masked_25_msa_transformer.fa,PF06733,PF06733_0,PF06733,56.9
masked_25_msa_transformer.fa,PF06733,PF06733_1,PF06733,56.2
masked_25_msa_transformer.fa,PF06733,PF06733_2,PF06733,70.3
masked_25_msa_transformer.fa,PF06733,PF06733_3,PF06733,57.5
masked_25_msa_transformer.fa,PF06733,PF06733_4,PF06733,69.8
masked_25_msa_transformer.fa,PF06733,PF06733_5,PF06733,69.1
masked_25_msa_transformer.fa,PF06733,PF06733_6,PF06733,44.2
masked_25_msa_transformer.fa,PF06733,PF06733_7,PF06733,58.4
masked_25_msa_transformer.fa,PF06733,PF06733_8,PF06733,49.4
masked_25_msa_transformer.fa,PF06733,PF06733_9,PF06733,47.7
masked_25_msa_transformer.fa,PF06733,PF06733_10,PF06733,66.4
masked_25_msa_transformer.fa,PF06733,PF06733_11,PF06733,43.4
masked_25_msa_transformer.fa,PF06733,PF06733_12,PF06733,38.1
masked_25_msa_transformer.fa,PF06733,PF06733_13,PF06733,44.6
masked_25_msa_transformer.fa,PF06733,PF06733_14,PF06733,59.6
masked_25_msa_transformer.fa,PF06733,PF06733_15,PF06733,46.0
masked_25_msa_transformer.fa,PF06733,PF06733_16,PF06733,44.8
masked_25_msa_transformer.fa,PF06733,PF06733_17,PF06733,59.2
masked_25_msa_transformer.fa,PF06733,PF06733_18,PF06733,62.5
masked_25_msa_transformer.fa,PF06733,PF06733_19,PF06733,72.2
masked_25_msa_transformer.fa,PF06733,PF06733_20,PF06733,49.3
masked_25_msa_transformer.fa,PF06733,PF06733_21,PF06733,38.0
masked_25_msa_transformer.fa,PF06733,PF06733_22,PF06733,75.4
masked_25_msa_transformer.fa,PF06733,PF06733_23,PF06733,77.0
masked_25_msa_transformer.fa,PF06733,PF06733_24,PF06733,44.9
masked_25_msa_transformer.fa,PF06733,PF06733_25,PF06733,62.3
masked_25_msa_transformer.fa,PF06733,PF06733_26,PF06733,75.8
masked_25_msa_transformer.fa,PF06733,PF06733_27,PF06733,58.2
masked_25_msa_transformer.fa,PF06733,PF06733_28,PF06733,83.2
masked_25_msa_transformer.fa,PF06733,PF06733_29,PF06733,42.0
masked_25_msa_transformer.fa,PF06733,PF06733_30,PF06733,69.2
masked_25_msa_transformer.fa,PF06733,PF06733_31,PF06733,56.2
masked_25_msa_transformer.fa,PF06733,PF06733_32,PF06733,50.6
masked_25_msa_transformer.fa,PF06733,PF06733_33,PF06733,84.3
masked_25_msa_transformer.fa,PF06733,PF06733_34,PF06733,50.4
masked_25_msa_transformer.fa,PF06733,PF06733_35,PF06733,42.2
masked_25_msa_transformer.fa,PF06733,PF06733_36,PF06733,46.1
masked_25_msa_transformer.fa,PF06733,PF06733_37,PF06733,36.5
masked_25_msa_transformer.fa,PF06733,PF06733_38,PF06733,40.5
masked_25_msa_transformer.fa,PF06733,PF06733_39,PF06733,37.1
masked_25_msa_transformer.fa,PF06733,PF06733_40,PF06733,40.9
masked_25_msa_transformer.fa,PF06733,PF06733_41,PF06733,38.2
masked_25_msa_transformer.fa,PF06733,PF06733_42,PF06733,57.5
masked_25_msa_transformer.fa,PF06733,PF06733_43,PF06733,35.4
masked_25_msa_transformer.fa,PF06733,PF06733_44,PF06733,65.3
masked_25_msa_transformer.fa,PF06733,PF06733_45,PF06733,61.6
masked_25_msa_transformer.fa,PF06733,PF06733_46,PF06733,42.2
masked_25_msa_transformer.fa,PF06733,PF06733_47,PF06733,45.6
masked_25_msa_transformer.fa,PF06733,PF06733_48,PF06733,60.9
masked_25_msa_transformer.fa,PF06733,PF06733_49,PF06733,53.3
masked_25_msa_transformer.fa,PF06733,PF06733_50,PF06733,61.2
masked_25_msa_transformer.fa,PF06733,PF06733_51,PF06733,66.1
masked_25_msa_transformer.fa,PF06733,PF06733_52,PF06733,39.7
masked_25_msa_transformer.fa,PF06733,PF06733_53,PF06733,49.7
masked_25_msa_transformer.fa,PF06733,PF06733_54,PF06733,71.0
masked_25_msa_transformer.fa,PF06733,PF06733_55,PF06733,75.9
masked_25_msa_transformer.fa,PF06733,PF06733_56,PF06733,34.8
masked_25_msa_transformer.fa,PF06733,PF06733_57,PF06733,95.0
masked_25_msa_transformer.fa,PF06733,PF06733_58,PF06733,60.3
masked_25_msa_transformer.fa,PF06733,PF06733_59,PF06733,60.3
masked_25_msa_transformer.fa,PF06733,PF06733_60,PF06733,65.1
masked_25_msa_transformer.fa,PF06733,PF06733_61,PF06733,60.3
masked_25_msa_transformer.fa,PF06733,PF06733_62,PF06733,54.7
masked_25_msa_transformer.fa,PF06733,PF06733_63,PF06733,79.9
masked_25_msa_transformer.fa,PF06733,PF06733_64,PF06733,69.3
masked_25_msa_transformer.fa,PF06733,PF06733_65,PF06733,53.1
masked_25_msa_transformer.fa,PF06733,PF06733_66,PF06733,54.6
masked_25_msa_transformer.fa,PF06733,PF06733_67,PF06733,54.7
masked_25_msa_transformer.fa,PF06733,PF06733_68,PF06733,63.3
masked_25_msa_transformer.fa,PF06733,PF06733_69,PF06733,61.2
masked_25_msa_transformer.fa,PF06733,PF06733_70,PF06733,54.1
