file,generated_family,best_hit_family,best_hit_score
masked_25.fa,PF14522,PF14522,28.3
masked_25.fa,PF14522,PF14522,33.6
masked_25.fa,PF14522,PF14522,34.8
masked_25.fa,PF14522,PF14522,32.6
masked_25.fa,PF14522,PF14522,26.7
masked_25.fa,PF14522,PF14522,24.2
masked_25.fa,PF14522,PF14522,24.2
masked_25.fa,PF14522,PF14522,37.7
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,24.5
masked_25.fa,PF14522,PF14522,27.5
masked_25.fa,PF14522,PF14522,27.5
masked_25.fa,PF14522,PF14522,34.0
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,36.4
masked_25.fa,PF14522,PF14522,24.6
masked_25.fa,PF14522,PF14522,40.0
masked_25.fa,PF14522,PF14522,33.0
masked_25.fa,PF14522,PF14522,41.5
masked_25.fa,PF14522,PF14522,46.0
masked_25.fa,PF14522,PF14522,35.6
masked_25.fa,PF14522,PF14522,32.4
masked_25.fa,PF14522,PF14522,29.6
masked_25.fa,PF14522,PF14522,38.7
masked_25.fa,PF14522,PF14522,37.0
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,50.8
masked_25.fa,PF14522,PF14522,40.6
masked_25.fa,PF14522,PF14522,43.0
masked_25.fa,PF14522,PF14522,32.4
masked_25.fa,PF14522,PF14522,26.6
masked_25.fa,PF14522,PF14522,31.3
masked_25.fa,PF14522,PF14522,31.2
masked_25.fa,PF14522,PF14522,31.6
masked_25.fa,PF14522,PF14522,42.2
masked_25.fa,PF14522,PF14522,36.1
masked_25.fa,PF14522,PF14522,33.8
masked_25.fa,PF14522,PF14522,34.4
masked_25.fa,PF14522,PF14522,48.2
masked_25.fa,PF14522,PF14522,38.6
masked_25.fa,PF14522,PF14522,39.6
masked_25.fa,PF14522,PF14522,29.6
masked_25.fa,PF14522,PF14522,36.8
masked_25.fa,PF14522,PF14522,41.5
masked_25.fa,PF14522,PF14522,42.8
masked_25.fa,PF14522,PF14522,32.0
masked_25.fa,PF14522,PF14522,39.3
masked_25.fa,PF14522,PF14522,50.6
masked_25.fa,PF14522,PF14522,51.6
masked_25.fa,PF14522,PF14522,31.9
masked_25.fa,PF14522,PF14522,32.3
masked_25.fa,PF14522,PF14522,25.5
masked_25.fa,PF14522,PF14522,30.0
masked_25.fa,PF14522,PF14522,29.8
masked_25.fa,PF14522,PF14522,40.8
masked_25.fa,PF14522,PF14522,41.9
masked_25.fa,PF14522,PF14522,48.5
masked_25.fa,PF14522,PF14522,26.6
masked_25.fa,PF14522,PF14522,27.4
masked_25.fa,PF14522,PF14522,33.4
masked_25.fa,PF14522,PF14522,33.0
masked_25.fa,PF14522,PF14522,25.9
masked_25.fa,PF14522,PF14522,31.0
masked_25.fa,PF14522,PF14522,30.3
masked_25.fa,PF14522,PF14522,26.9
masked_25.fa,PF14522,PF14522,30.8
masked_25.fa,PF14522,PF14522,28.7
masked_25.fa,PF14522,PF14522,26.7
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,23.8
