file,generated_family,query_name,best_hit_family,best_hit_score
masked_25_single_transformer.fa,PF06733,PF06733_1,PF06733,52.4
masked_25_single_transformer.fa,PF06733,PF06733_2,PF06733,66.7
masked_25_single_transformer.fa,PF06733,PF06733_3,PF06733,111.4
masked_25_single_transformer.fa,PF06733,PF06733_4,PF06733,134.4
masked_25_single_transformer.fa,PF06733,PF06733_5,PF06733,137.9
masked_25_single_transformer.fa,PF06733,PF06733_6,PF06733,86.7
masked_25_single_transformer.fa,PF06733,PF06733_7,PF06733,81.1
masked_25_single_transformer.fa,PF06733,PF06733_8,PF06733,61.6
masked_25_single_transformer.fa,PF06733,PF06733_9,PF06733,90.9
masked_25_single_transformer.fa,PF06733,PF06733_10,PF06733,85.0
masked_25_single_transformer.fa,PF06733,PF06733_11,PF06733,151.3
masked_25_single_transformer.fa,PF06733,PF06733_12,PF06733,117.6
masked_25_single_transformer.fa,PF06733,PF06733_13,PF06733,57.9
masked_25_single_transformer.fa,PF06733,PF06733_14,PF06733,53.1
masked_25_single_transformer.fa,PF06733,PF06733_15,PF06733,152.2
masked_25_single_transformer.fa,PF06733,PF06733_16,PF06733,129.7
masked_25_single_transformer.fa,PF06733,PF06733_17,PF06733,62.3
masked_25_single_transformer.fa,PF06733,PF06733_18,PF06733,83.9
masked_25_single_transformer.fa,PF06733,PF06733_19,PF06733,79.2
masked_25_single_transformer.fa,PF06733,PF06733_20,PF06733,133.1
masked_25_single_transformer.fa,PF06733,PF06733_21,PF06733,113.5
masked_25_single_transformer.fa,PF06733,PF06733_22,PF06733,52.3
masked_25_single_transformer.fa,PF06733,PF06733_23,PF06733,71.0
masked_25_single_transformer.fa,PF06733,PF06733_24,PF06733,75.6
masked_25_single_transformer.fa,PF06733,PF06733_25,PF06733,89.4
masked_25_single_transformer.fa,PF06733,PF06733_26,PF06733,95.1
masked_25_single_transformer.fa,PF06733,PF06733_27,PF06733,110.9
masked_25_single_transformer.fa,PF06733,PF06733_28,PF06733,134.8
masked_25_single_transformer.fa,PF06733,PF06733_29,PF06733,78.8
masked_25_single_transformer.fa,PF06733,PF06733_30,PF06733,45.9
masked_25_single_transformer.fa,PF06733,PF06733_31,PF06733,115.5
masked_25_single_transformer.fa,PF06733,PF06733_32,PF06733,44.3
masked_25_single_transformer.fa,PF06733,PF06733_33,PF06733,77.6
masked_25_single_transformer.fa,PF06733,PF06733_34,PF06733,79.5
masked_25_single_transformer.fa,PF06733,PF06733_35,PF06733,62.8
masked_25_single_transformer.fa,PF06733,PF06733_36,PF06733,97.2
masked_25_single_transformer.fa,PF06733,PF06733_37,PF06733,45.1
masked_25_single_transformer.fa,PF06733,PF06733_38,PF06733,110.4
masked_25_single_transformer.fa,PF06733,PF06733_39,PF06733,75.0
masked_25_single_transformer.fa,PF06733,PF06733_40,PF06733,61.7
masked_25_single_transformer.fa,PF06733,PF06733_41,PF06733,63.7
masked_25_single_transformer.fa,PF06733,PF06733_42,PF06733,97.9
masked_25_single_transformer.fa,PF06733,PF06733_43,PF06733,48.4
masked_25_single_transformer.fa,PF06733,PF06733_44,PF06733,101.2
masked_25_single_transformer.fa,PF06733,PF06733_45,PF06733,53.8
masked_25_single_transformer.fa,PF06733,PF06733_46,PF06733,81.0
masked_25_single_transformer.fa,PF06733,PF06733_47,PF06733,132.6
masked_25_single_transformer.fa,PF06733,PF06733_48,PF06733,138.8
masked_25_single_transformer.fa,PF06733,PF06733_49,PF06733,114.3
masked_25_single_transformer.fa,PF06733,PF06733_50,PF06733,80.2
masked_25_single_transformer.fa,PF06733,PF06733_51,PF06733,92.5
masked_25_single_transformer.fa,PF06733,PF06733_52,PF06733,124.0
masked_25_single_transformer.fa,PF06733,PF06733_53,PF06733,81.4
masked_25_single_transformer.fa,PF06733,PF06733_54,PF06733,85.9
masked_25_single_transformer.fa,PF06733,PF06733_55,PF06733,66.3
masked_25_single_transformer.fa,PF06733,PF06733_56,PF06733,85.8
masked_25_single_transformer.fa,PF06733,PF06733_57,PF06733,96.8
masked_25_single_transformer.fa,PF06733,PF06733_58,PF06733,127.3
masked_25_single_transformer.fa,PF06733,PF06733_59,PF06733,85.4
masked_25_single_transformer.fa,PF06733,PF06733_60,PF06733,57.7
masked_25_single_transformer.fa,PF06733,PF06733_61,PF06733,76.5
masked_25_single_transformer.fa,PF06733,PF06733_62,PF06733,104.1
masked_25_single_transformer.fa,PF06733,PF06733_63,PF06733,75.6
masked_25_single_transformer.fa,PF06733,PF06733_64,PF06733,69.9
masked_25_single_transformer.fa,PF06733,PF06733_65,PF06733,53.4
