prot1,prot2,distance
0,1,190.00
0,2,168.31
0,3,213.87
0,4,130.58
0,5,192.34
0,6,236.23
0,7,326.23
0,8,190.85
0,9,216.24
0,10,168.91
0,11,39.41
0,12,218.58
0,13,74.45
0,14,213.87
0,15,273.39
0,16,163.46
0,17,175.35
0,18,177.64
0,19,220.91
0,20,190.00
0,21,61.28
0,22,235.51
0,23,397.21
0,24,231.19
0,25,98.43
0,26,228.65
0,27,145.89
0,28,166.71
0,29,187.63
0,30,203.71
0,31,187.63
0,32,144.27
0,33,154.73
0,34,173.23
0,35,164.48
0,36,134.75
0,37,nan
0,38,182.81
0,39,201.73
0,40,213.87
0,41,286.06
0,42,182.81
0,43,74.45
0,44,199.23
0,45,175.35
0,46,216.24
0,47,286.06
0,48,218.29
0,49,238.37
0,50,211.49
0,51,184.35
0,52,187.63
0,53,273.39
0,54,182.14
0,55,179.53
0,56,93.99
0,57,216.24
0,58,55.33
0,59,211.49
0,60,118.61
0,61,184.35
0,62,190.00
0,63,187.63
0,64,199.23
0,65,17.68
0,66,273.39
0,67,164.48
0,68,154.73
0,69,148.02
0,70,170.69
0,71,246.83
0,72,211.49
0,73,238.37
0,74,154.73
0,75,310.39
0,76,144.27
0,77,170.69
0,78,199.23
0,79,257.91
0,80,37.00
0,81,216.24
0,82,326.23
0,83,159.06
0,84,231.19
0,85,70.99
0,86,310.39
0,87,124.40
0,88,185.23
0,89,93.99
0,90,213.87
0,91,17.68
0,92,177.64
0,93,209.08
0,94,216.24
0,95,199.23
0,96,397.21
0,97,180.35
0,98,196.96
0,99,149.99
1,0,190.00
1,2,151.93
1,3,257.91
1,4,145.72
1,5,145.89
1,6,279.72
1,7,282.89
1,8,168.91
1,9,318.24
1,10,177.64
1,11,143.72
1,12,206.65
1,13,137.04
1,14,96.66
1,15,159.06
1,16,169.41
1,17,177.64
1,18,17.68
1,19,213.87
1,20,143.72
1,21,220.91
1,22,196.96
1,23,322.22
1,24,85.69
1,25,145.72
1,26,137.18
1,27,196.96
1,28,32.35
1,29,213.87
1,30,209.08
1,31,199.23
1,32,231.19
1,33,49.72
1,34,148.02
1,35,175.35
1,36,37.00
1,37,282.89
1,38,257.91
1,39,55.33
1,40,148.02
1,41,194.66
1,42,203.71
1,43,152.21
1,44,78.05
1,45,184.35
1,46,233.72
1,47,194.66
1,48,228.65
1,49,255.16
1,50,257.91
1,51,124.40
1,52,231.19
1,53,199.23
1,54,177.64
1,55,207.57
1,56,196.96
1,57,118.80
1,58,135.67
1,59,175.35
1,60,129.09
1,61,216.24
1,62,196.96
1,63,252.39
1,64,184.35
1,65,184.35
1,66,199.23
1,67,390.53
1,68,64.41
1,69,137.18
1,70,203.71
1,71,nan
1,72,144.27
1,73,145.89
1,74,17.68
1,75,252.39
1,76,165.90
1,77,98.43
1,78,154.26
1,79,172.80
1,80,145.89
1,81,inf
1,82,236.23
1,83,166.71
1,84,209.08
1,85,194.66
1,86,282.89
1,87,213.87
1,88,156.29
1,89,182.14
1,90,98.43
1,91,148.02
1,92,154.26
1,93,74.45
1,94,122.56
1,95,226.09
1,96,282.89
1,97,246.83
1,98,213.87
1,99,213.87
2,0,168.31
2,1,151.93
2,3,70.99
2,4,232.64
2,5,159.06
2,6,252.39
2,7,231.19
2,8,213.87
2,9,196.96
2,10,179.53
2,11,179.91
2,12,165.34
2,13,213.87
2,14,211.49
2,15,236.23
2,16,184.35
2,17,190.85
2,18,179.53
2,19,158.29
